round,state,lga,settlements,u5,missed_u5_round,covered_u5_round,coverage_round,missed_rate
2,Jigawa,Maigatari,356,34408,9360,25048,0.7279702394791909,0.2720297605208091
2,Jigawa,Malam Madori,508,35915,13989,21926,0.6104970068216623,0.38950299317833775
2,Jigawa,Miga,396,35585,12278,23307,0.6549669804692989,0.34503301953070115
2,Jigawa,Ringim,472,61143,21953,39190,0.6409564463634431,0.35904355363655693
2,Jigawa,Roni,295,64903,14434,50469,0.7776065821302559,0.2223934178697441
2,Jigawa,Sule Tankarkar,699,47801,15466,32335,0.6764502834668731,0.3235497165331269
2,Jigawa,Taura,296,45522,13266,32256,0.708580466587584,0.291419533412416
2,Jigawa,Yankwashi,259,17748,4460,13288,0.7487040793328826,0.2512959206671174
2,Kano,Ajingi,406,41271,16917,24354,0.5900995856654794,0.4099004143345206
2,Kano,Albasu,760,43495,12784,30711,0.7060811587538798,0.2939188412461202
2,Kano,Bagwai,633,45911,14296,31615,0.6886149288841454,0.31138507111585456
2,Kano,Bebeji,870,49261,18160,31101,0.6313513732973346,0.3686486267026654
2,Kano,Bichi,871,67793,20554,47239,0.6968123552579175,0.30318764474208254
2,Kano,Bunkure,622,37446,10709,26737,0.7140148480478555,0.2859851519521444
2,Kano,Dala,1203,39358,8101,31257,0.7941714518014127,0.2058285481985873
2,Kano,Dambatta,744,51181,16072,35109,0.6859772181082824,0.3140227818917176
2,Kano,Dawakin Kudu,854,62046,18712,43334,0.6984173032911066,0.3015826967088934
2,Kano,Dawakin Tofa,1062,54684,15029,39655,0.7251664106502816,0.27483358934971835
2,Kano,Doguwa,828,52337,16023,36314,0.6938494755144544,0.3061505244855456
2,Kano,Fagge,928,48454,9616,38838,0.8015437321996121,0.198456267800388
2,Kano,Gabasawa,870,43901,14484,29417,0.670075852486276,0.32992414751372406
2,Kano,Garko,611,37590,11982,25608,0.681245011971269,0.31875498802873103
2,Kano,Garum Mallam,524,29702,7716,21986,0.740219513837452,0.25978048616254795
2,Kano,Gaya,875,38112,13891,24221,0.6355216204869857,0.36447837951301426
2,Kano,Gezawa,793,58005,16839,41166,0.7096974398758727,0.29030256012412725
2,Kano,Gwale,1198,70170,22090,48080,0.6851931024654411,0.3148068975345589
2,Kano,Gwarzo,725,51625,17190,34435,0.6670217917675545,0.3329782082324455
2,Kano,Kabo,456,34194,8062,26132,0.7642276422764228,0.23577235772357724
2,Kano,Kano Municipal,901,22240,3824,18416,0.8280575539568346,0.17194244604316547
2,Kano,Karaye,536,47854,18676,29178,0.6097295941823045,0.3902704058176955
2,Kano,Kibiya,593,37994,12704,25290,0.6656314154866558,0.3343685845133442
2,Kano,Kiru,741,65039,22649,42390,0.6517627884807577,0.3482372115192423
2,Kano,Kumbotso,2379,65409,20818,44591,0.6817257563943799,0.31827424360562
2,Kano,Kunchi,161,26914,8772,18142,0.6740729731738129,0.3259270268261871
2,Kano,Kura,438,33025,13166,19859,0.601332323996972,0.398667676003028
2,Kano,Madobi,937,57164,15967,41197,0.7206808480862081,0.2793191519137919
2,Kano,Makoda,191,28177,8948,19229,0.6824360293856692,0.31756397061433084
2,Kano,Minjibir,915,60297,20719,39578,0.6563842313879629,0.3436157686120371
2,Kano,Nassarawa,1654,70341,19534,50807,0.7222956739312776,0.27770432606872236
2,Kano,Rano,504,33938,13363,20575,0.6062525782308916,0.3937474217691084
2,Kano,Rimin Gado,170,20634,5390,15244,0.7387806532906853,0.26121934670931474
2,Kano,Rogo,1036,44167,14499,29668,0.6717232322774922,0.32827676772250775
2,Kano,Shanono,453,35073,7752,27321,0.7789752801300145,0.22102471986998545
2,Kano,Sumaila,931,44190,16291,27899,0.6313419325639285,0.3686580674360715
2,Kano,Takai,679,36240,11730,24510,0.6763245033112583,0.32367549668874174
2,Kano,Tarauni,1030,38389,7007,31382,0.8174737555028784,0.18252624449712157
2,Kano,Tofa,440,26869,9686,17183,0.639510216234322,0.3604897837656779
2,Kano,Tsanyawa,376,36552,10375,26177,0.7161578025826221,0.283842197417378
2,Kano,Tudun Wada,644,55622,18565,37057,0.6662291898888929,0.3337708101111071
2,Kano,Ungogo,2515,106115,34264,71851,0.6771050275644348,0.3228949724355652
2,Kano,Warawa,611,36143,12517,23626,0.6536812107462026,0.34631878925379744
2,Kano,Wudil,536,45593,21599,23994,0.5262649968196872,0.47373500318031275
2,Katsina,Bakori,978,76063,23435,52628,0.6919001354140647,0.30809986458593536
2,Katsina,Batagarawa,376,50012,22021,27991,0.5596856754378949,0.4403143245621051
2,Katsina,Batsari,643,51740,21271,30469,0.5888867413993042,0.4111132586006958
2,Katsina,Baure,536,59990,22428,37562,0.6261376896149359,0.3738623103850642
2,Katsina,Bindawa,480,48296,19068,29228,0.6051846943846281,0.39481530561537187
2,Katsina,Charanchi,301,46938,20540,26398,0.5624014657633474,0.4375985342366526
2,Katsina,Dan Musa,475,45182,17735,27447,0.607476428666283,0.39252357133371696
2,Katsina,Dandume,599,69858,22607,47251,0.6763863838071517,0.32361361619284834
2,Katsina,Danja,718,66207,30658,35549,0.5369371818689866,0.46306281813101335
2,Katsina,Daura,373,32797,11292,21505,0.655700216483215,0.3442997835167851
2,Katsina,Dutsi,456,34700,12623,22077,0.6362247838616715,0.36377521613832853
2,Katsina,Dutsin Ma,904,66644,23254,43390,0.6510713642638497,0.3489286357361503
2,Katsina,Faskari,509,35487,9738,25749,0.7255896525488207,0.2744103474511793
2,Katsina,Funtua,849,129995,56389,73606,0.566221777760683,0.4337782222393169
2,Katsina,Ingawa,490,49198,17309,31889,0.6481767551526485,0.3518232448473515
2,Katsina,Jibia,681,47995,18005,29990,0.6248567559120741,0.3751432440879258
2,Katsina,Kafur,613,71246,23939,47307,0.6639951716587598,0.33600482834124024
2,Katsina,Kaita,338,53907,14993,38914,0.7218728551023058,0.2781271448976942
2,Katsina,Kankara,752,44621,16249,28372,0.6358441092759015,0.36415589072409854
2,Katsina,Kankia,603,55356,20703,34653,0.6260026013440277,0.37399739865597226
2,Katsina,Katsina,1515,88119,30708,57411,0.6515166990092942,0.34848330099070574
2,Katsina,Kurfi,400,35670,12732,22938,0.6430613961312027,0.35693860386879733
2,Katsina,Kusada,452,35616,14253,21363,0.5998146900269542,0.4001853099730458
2,Katsina,Mai'adua,513,35182,10559,24623,0.6998749360468421,0.30012506395315786
2,Katsina,Malumfashi,734,72494,22117,50377,0.6949126824288907,0.30508731757110935
2,Katsina,Mani,814,56021,22257,33764,0.6027025579693329,0.3972974420306671
2,Katsina,Mashi,703,53020,20887,32133,0.6060543191248585,0.3939456808751415
2,Katsina,Matazu,663,33660,13653,20007,0.5943850267379679,0.4056149732620321
2,Katsina,Musawa,440,43902,16478,27424,0.6246640244180219,0.37533597558197807
2,Katsina,Rimi,466,50143,17639,32504,0.6482260734299903,0.3517739265700098
2,Katsina,Sabuwa,352,41943,17848,24095,0.5744701142026083,0.4255298857973917
2,Katsina,Safana,346,58722,20203,38519,0.65595517863832975,0.34404482136167025
2,Katsina,Sandamu,384,33600,10896,22704,0.6757142857142857,0.3242857142857143
2,Katsina,Zango,414,35271,13541,21730,0.6160868702333362,0.3839131297666638
2,Kebbi,Aleiro,139,19958,6722,13236,0.6631927046798276,0.33680729532017234
2,Kebbi,Arewa Dandi,896,30737,13757,16980,0.5524286690308098,0.4475713309691902
2,Kebbi,Argungu,757,19626,7648,11978,0.6103128503006217,0.3896871496993784
2,Kebbi,Augie,461,21740,7016,14724,0.677276908923643,0.32272309107635694
2,Kebbi,Bagudo,1041,42807,15754,27053,0.6319760786787207,0.36802392132127926
2,Kebbi,Bagudu,3,21,8,13,0.6190476190476191,0.38095238095238093
2,Kebbi,Birnin Kebbi,743,51390,20076,31314,0.6093403385872738,0.39065966141272623
2,Kebbi,Bunza,711,26175,10732,15443,0.5899904489016237,0.41000955109837633
2,Kebbi,Dandi,428,32335,11092,21243,0.6569661357661977,0.3430338642338024
2,Kebbi,Fakai,825,27516,7898,19618,0.7129670010175898,0.28703299898241025
2,Kebbi,Gwandu,566,39622,13962,25660,0.6476200090858614,0.35237999091413863
2,Kebbi,Jega,681,28271,12415,15856,0.5608574157263627,0.4391425842736373
2,Kebbi,Kalgo,485,20293,8069,12224,0.6023752032720643,0.3976247967279357
2,Kebbi,Koko-Besse,756,50019,20671,29348,0.5867370399248286,0.41326296007517144
2,Kebbi,Maiyama,458,44627,19463,25164,0.5638738880050194,0.43612611199498064
2,Kebbi,Ngaski,574,30978,10803,20175,0.6512686422622507,0.3487313577377494
2,Kebbi,Sakaba,613,32025,5919,26106,0.815175644028103,0.18482435597189695
2,Kebbi,Shanga,406,41213,16223,24990,0.6063620702205614,0.3936379297794385
2,Kebbi,Suru,649,30260,12304,17956,0.5933906146728354,0.40660938532716456
2,Kebbi,Wasagu-Danko,1249,57675,23384,34291,0.5945557000433463,0.40544429995665365
2,Kebbi,Yauri,499,26482,8631,17851,0.6740805075145382,0.3259194924854618
2,Kebbi,Zuru,650,12510,5511,6999,0.5594724220623501,0.4405275779376499
2,Sokoto,Binji,291,15558,7026,8532,0.5483995372155804,0.45160046278441957
2,Sokoto,Bodinga,585,35609,15581,20028,0.5624420792496279,0.4375579207503721
2,Sokoto,Dange Shuni,568,36038,15636,20402,0.5661246462067817,0.4338753537932183
2,Sokoto,Gada,862,56218,21127,35091,0.6241950976555551,0.37580490234444486
2,Sokoto,Goronyo,517,60627,17991,42636,0.7032510267702509,0.29674897322974914
2,Sokoto,Gudu,355,11947,4561,7386,0.6182305181217042,0.3817694818782958
2,Sokoto,Gwadabawa,536,33493,13037,20456,0.6107544860120026,0.3892455139879975
2,Sokoto,Illela,426,28375,10597,17778,0.6265374449339207,0.3734625550660793
2,Sokoto,Isa,427,37156,10615,26541,0.7143126278393799,0.28568737216062007
2,Sokoto,Kebbe,344,18763,7324,11439,0.6096573042690401,0.39034269573095987
2,Sokoto,Kware,621,59832,26811,33021,0.5518953068592057,0.4481046931407942
2,Sokoto,Rabah,326,31591,11694,19897,0.6298312810610617,0.3701687189389383
2,Sokoto,Sabon Birni,558,43901,13994,29907,0.6812373294457985,0.3187626705542015
2,Sokoto,Shagari,370,34260,10316,23944,0.6988908347927613,0.30110916520723874
2,Sokoto,Silame,373,19515,8131,11384,0.5833461439918012,0.4166538560081988
2,Sokoto,Sokoto North,328,32810,13385,19425,0.5920451081987199,0.4079548918012801
2,Sokoto,Sokoto South,434,29216,10817,18399,0.6297576670317634,0.3702423329682366
2,Sokoto,Tambuwal,578,41782,18685,23097,0.5527978555358767,0.4472021444641233
2,Sokoto,Tangaza,476,6916,2827,4089,0.5912377096587623,0.40876229034123773
2,Sokoto,Tureta,251,25926,8962,16964,0.6543238447890148,0.3456761552109851
2,Sokoto,Wamakko,631,48632,20614,28018,0.576122717552229,0.423877282447771
2,Sokoto,Wurno,399,30662,12779,17883,0.583230056747766,0.41676994325223404
2,Sokoto,Yabo,406,26731,12300,14431,0.5398600875388126,0.4601399124611874
2,Zamfara,Anka,330,37457,12924,24533,0.6549643591318045,0.34503564086819555
2,Zamfara,Bakura,437,43388,19455,23933,0.5516041301742417,0.4483958698257583
2,Zamfara,Birnin_magaji-Kiyaw,673,70761,24384,46377,0.6554034001780642,0.3445965998219358
2,Zamfara,Bukkuyum,612,49602,21405,28197,0.5684649812507561,0.431535018749244
2,Zamfara,Bungudu,549,57777,25172,32605,0.5643249043737127,0.43567509562628726
2,Zamfara,Gummi,569,62442,21599,40843,0.6540950001601487,0.3459049998398514
2,Zamfara,Gusau,930,106956,46173,60783,0.5682991136542129,0.43170088634578707
2,Zamfara,Kaura Namoda,598,80447,35731,44716,0.5558442204184121,0.44415577958158786
2,Zamfara,Maradun,388,41876,14687,27189,0.6492740471869328,0.3507259528130672
2,Zamfara,Maru,912,51588,21336,30252,0.5864154454524309,0.4135845545475692
2,Zamfara,Shinkafi,284,54110,21306,32804,0.6062465348364443,0.3937534651635557
2,Zamfara,Talata Mafara,702,63854,19703,44151,0.6914367150061077,0.3085632849938923
2,Zamfara,Tsafe,558,70504,22851,47653,0.6758907296039941,0.3241092703960059
2,Zamfara,Zurmi,851,61733,16690,45043,0.7296421686942154,0.2703578313057846
3,Jigawa,Auyo,283,29019,7113,21906,0.7548847306936834,0.24511526930631655
3,Jigawa,Babura,590,68811,19024,49787,0.7235325747336908,0.2764674252663092
